번호,서명,저자,출판사,출판년
1,강아지 품에 안고 . 10,표시정,가문비어린이,2008
2,나도 UCC 고수,김윤호 ; 박봉관 ; 하재구 [공]지음,대명종,2007
3,40가지 생각,김성춘 글 ; 김정옥 그림,하늘처럼,2008
4,책을 구한 사서,지네트 윈터 글. 그림 ; 박수현 옮김,미세기,2007
5,(어린이를 위한)긍정의 힘,이상화 ; 정성란 ; 한혜선 [공]지음 ; 신은정 그림,두란노,2008
6,(둥글둥글 지구촌)종교 이야기,크리스티네 슐츠-라이스 글 ; 베르너 티키 퀴스텐마허 그림 ; 임미오 옮김,풀빛,2008
7,(권인숙 선생님의)어린이 양성 평등 이야기,권인숙 지음 ; 민재회 그림,청년사,2008
8,(문화관광부 선정)민족 문화 상징 100,김영만 글씀,바른사,2007
9,(옛이야기를 품은)나무,하늘매발톱 글 ; 홍혜련 그림,가교출판,2007
10,(어린이를 위한)주강현의 우리문화. 1 : 도깨비에서 장승까지,주강현 지음,아이세움,2007
11,21세기 세상은 어떻게 변할까,최향숙 지음 ; 유지환 ; 윤정주 [공]그림,대교,2008
12,둥글둥글 지구촌 문화 이야기,크리스티네 슐츠-라이스 글 ; 안나 침머만 그림 ; 이옥용 옮김,풀빛,2008
13,밥 힘으로 살아온 우리 민족,김아리 지음 ; 정수영 그림,아이세움,2008
14,우리 조상들은 얼마나 멋있게 살았을까,강난숙 지음 ; 유희선 ; 김선미 [공]그림,청년사,2007
15,우리 조상들은 얼마나 재미있게 살았을까,강난숙 지음 ; 김홍모 그림,청년사,2007
16,짚풀생활사박물관,인병선 글 ; 민재회 그림,스쿨김영사,2007
17,(나비박사 석주명의)과학나라,석주명 지음 ; 최달수 그림,현암사,2008
18,놀라운 과학이 담겨있는 물고기,하늘매발톱 글 ; 백일수 그림,가교출판,2007
19,"별가족, 태양계 탐험을 떠나다",김지현 글 ; 김주경 그림,토토북,2008
20,섬뜩섬뜩 삼각법,샤르탄 포스키트 글 ; 필립 리브 그림 ; 오숙은 옮김,주니어김영사,2008
21,(피리파라퐁퐁)수학나라대탐험,리위페이 지음 ; 권덕녀 옮김 ; 박현정 글,파란자전거,2008
22,용감한 세포 비안카,루카 쇼르티노 글 ; 실비아 비냘레 그림 ; 음경훈 옮김,아이세움,2007
23,우리 바다 이야기,홍선욱 글 ; 강봉승 그림,아이세움,2006
24,(천재와 괴짜들의)이야기 과학사,존 타운센드 글 ; 이충호 옮김,아이세움,2008
25,화산에서 살아남기,코믹컴 글 ; 정준규 그림,아이세움,2007
26,소중한 나를 위한 성 이야기,이안 글 ; 이빈 만화,계림,2007
27,"(최열 아저씨의)지구촌 환경 이야기. 1:, 먹을거리. 쓰레기. 물",최열 지음 ; 노희성 그림,청년사,2008
28,"(최열 아저씨의)지구촌 환경 이야기. 2, 공기·에너지·생태계",최열 지음 ; 노희성 그림,청년사,2008
29,북극곰도 모르는 북극 이야기,박지환 글 ; 김미경 그림,토토북,2008
30,알록달록 과자의 비밀,여성희 지음 ; 김용아 그림,현암사,2007
31,아이들의 하루,다니엘 피쿨리 지음 ; 김주경 옮김,오래된미래,2008
32,판소리,이영일 글 ; 우연이 그림,스쿨김영사,2008
33,고사성어,박종 글 ; 송선범 만화,계림,2007
34,(초·중학생을 위한)엣센스 기초 한자 사전,민중서림편집국 편,민중서림,2008
35,(이보영의 매일 쓰고 싶은)영어일기,이보영 저,에듀박스,2008
36,초등 영어 입문 사전,문순열 저,지식서관,2007
37,골목에서 소리가 난다,김장성 글 ; 정지혜 그림,사계절,2007
38,3학년 2반 전원합격！,사와다 노리코 글 ; 다카하시 도루 그림 ; 고향옥 옮김,국민서관,2007
39,5월35일,에리히 캐스트너 글 ; 호르스트 램케 그림 ; 김서정 옮김,시공주니어,2007
40,가방 들어 주는 아이 : 고정욱 창작동화 . 26,고정욱,사계절출판사,2008
41,가슴 뭉클한 옛날 이야기,김장성 글 ; 권문희 그림,사계절,2008
42,갈 테면 가 봐!,구두룬 멥스 지음 ; 양정아 그림 ; 문성원 옮김,시공주니어,2008
43,겁쟁이,이상권 글 ; 유진희 그림,시공주니어,2008
44,고얀놈 혼내 주기,김기정 글 ; 심은숙 그림,시공주니어,2008
45,공주의 배냇저고리,김려령...[등]지음,바람의 아이들,2008
46,구멍 속 나라,박상률 글 ; 한선금 그림,시공주니어,2006
47,굴참나무와 오색 딱다구리,백영현 지음 ; 장양선 그림,사계절,2007
48,굴참나무와 오색 딱다구리,백영현 지음 ; 장양선 그림,사계절,2007
49,"굿바이, 월터 오빠",헬렌 레코비츠 글 ; 로이드 블룸 그림 ; 최순희 옮김,시공주니어,2003
50,그녀석이 수상하다,권요원 지음,바람의 아이들,2008
51,(그림으로 만나는)우리 동시,김상욱 엮음,천둥거인,2008
52,글자가 사라진다면,윤아해 ; 육길나 ; 김재숙 [공]글 ; 혜경 그림,뜨인돌어린이,2008
53,금이와 메눈취 할머니,우봉규 글 ; 이상권 그림,시공주니어,2008
54,까치학교,박상률 글 ; 한병호 그림,시공주니어,2008
55,꼬꼬는 봄을 싫어해!,이치카와 노부코 글 ; 사토 아야 그림 ; 양선하 옮김,국민서관,2008
56,꼬마 유령,오트프리트 프로이슬러 글 ; 프란츠 요제프 트립 그림 ; 백경학 옮김,길벗어린이,2007
57,꿈의 다이어리,이미옥 글 ; 김진화 그림,시공주니어,2007
58,나는 너랑 함께 있어서 좋을 때가 더 많아,구두룬 멥스 글 ; 로트라우트 주자나 베르너 그림 ; 문성원 옮김,시공주니어,2006
59,나는 싸기대장의 형님,조성자 글 ; 김병하 그림,시공주니어,2008
60,나비 뚱비,프란초벨 글 ; 지빌레 포겔 그림 ; 이유림 옮김,국민서관,2007
61,나쁜 엄마,클라라 비달 지음 ; 이효숙 옮김,메타포,2008
62,난 작가가 될 거야,재클린 윌슨 지음 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2008
63,날씨탐정 무즈바와 불타는 지구,캐런 트래포드 글 ; 데이비드 윌셔 그림 ; 조현 옮김,현암사,2007
64,내 고추는 천연기념물,박상률 글 ; 최오민 그림,시공주니어,2008
65,내 동생 삐옥이,박성옥 글 ; 조원형 그림,문학동네,2008
66,내 이름은 나답게,김향이 지음 ; 김종도 그림,사계절,2008
67,내 이름은 나답게,김향이 지음 ; 김종도 그림,사계절,2008
68,내 이름은 삐삐 롱스타킹,아스트리드 린드그렌 글 ; 롤프 레티시 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
69,내 이름은 에이프릴,재클린 윌슨 글 ; 닉 샤랫 그림 ; 지혜연 옮김,시공주니어,2007
70,내 친구 꼬마거인,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
71,내 친구 꼬마거인,로알드 달 글 ; 퀜틴 블레이크 그림 ; 지혜연 옮김,시공주니어,2008
72,내 친구 윈딕시,케이트 디카밀로 글 ; 송재호 그림 ; 햇살과나무꾼 옮김,시공주니어,2008
73,내 친구는 천사 병동에 있다,이옥수 글 ; 김중석 그림,시공주니어,2006
74,내가 어렸을 때에,에리히 캐스트너 글 ; 호르스트 렘케 그림 ; 장영은 옮김,시공주니어,2008
75,너네 엄마는 네안데르탈인,존 셰스카 글 ; 레인 스미스 그림 ; 지혜연 옮김,시공주니어,2007
76,뉴욕에 간 귀뚜라미 체스터,조지 셀던 톰프슨 글 ; 가스 윌리엄즈 그림 ; 김연수 옮김,시공주니어,2008
77,다락방의 불빛,쉘 실버스타인 글·그림 ; 신형건 옮김,보물창고,2007
78,다람쥐가 보낸 편지,톤 텔레헨 글 ; 악셀 셰플러 그림 ; 김영진 옮김,비룡소,2006
79,도깨비 아부지,이상배 글 ; 한태희 그림,국민서관,2007
80,"도서관에 가지 마, 절대로",이오인 콜퍼 글 ; 토니 로스 그림 ; 이윤선 옮김,국민서관,2007
81,동물 회의,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2007
82,동물대장 엉걸이,서석영 지음 ; 한지희 그림,시공주니어,2007
83,동화책을 먹은 바둑이,노경실 지음 ; 김명심 외 그림,사계절,2006
84,또 한번의 전학,김혜리 글 ; 장선환 그림,시공주니어,2008
85,똥 싼 할머니,이옥수 글 ; 김병호 그림,시공주니어,2008
86,똥 싼 할머니,이옥수 글 ; 김병호 그림,시공주니어,2008
87,라스무스와 방랑자,아스트리드 린드그렌 글 ; 호르스트 렘케 그림 ; 문성원 옮김,시공주니어,2008
88,라스무스와 폰투스,아스트리드 린드그렌 글 ; 호르스트 렘케 그림 ; 문성원 옮김,시공주니어,2008
89,랄프는 똑똑해,비벌리 클리어리 글 ; 풀 오 젤린스키 그림 ; 김영선 옮김,시공주니어,2007
90,랄프와 오토바이,비벌리 클리어리 글 ; 루이스 달링 그림 ; 지혜연 옮김,시공주니어,2007
91,로테와 루이제,에리히 캐스트너 글 ; 발터 트리어 그림 ; 김서정 옮김,시공주니어,2007
92,리지 입은 지퍼 입,재클린 윌슨 글 ; 닉 나샤랫 그림 ; 지혜연 옮김,시공주니어,2007
